timestamp,open,high,low,close,volume
2020-10-18,46.92,47.98,46.78,47.54,164733.27305
2020-10-19,47.54,48.44,46.8,47.99,316808.83163
2020-10-20,47.99,48.46,46.36,46.88,399254.84677
2020-10-21,46.88,55.0,46.85,52.98,1425655.0175
2020-10-22,52.98,56.31,52.97,54.35,1405890.00408
2020-10-23,54.35,57.0,53.02,55.42,1079055.89232
2020-10-24,55.41,59.64,54.83,59.23,945746.17086
2020-10-25,59.22,60.0,56.53,58.84,907068.98603
2020-10-26,58.83,59.31,54.94,56.82,937505.27029
2020-10-27,56.8,59.06,56.46,57.91,846699.37035
2020-10-28,57.9,60.55,54.71,55.77,1227549.68318
2020-10-29,55.76,56.57,53.37,54.87,798253.73442
2020-10-30,54.88,55.78,52.2,54.01,706074.89769
2020-10-31,54.02,56.5,53.6,55.72,593903.97546
2020-11-01,55.69,56.19,54.07,55.6,369373.81151
2020-11-02,55.6,56.84,53.01,53.8,700498.4928
2020-11-03,53.82,54.37,51.13,53.96,672320.16238
2020-11-04,53.96,55.24,51.59,54.67,801009.79133
2020-11-05,54.7,59.73,54.62,58.95,1366335.62939
2020-11-06,58.94,63.68,58.61,63.2,1735473.54314
2020-11-07,63.22,64.77,57.0,58.9,1655539.62718
2020-11-08,58.9,62.03,58.52,61.02,795875.09498
2020-11-09,61.0,61.86,57.37,59.23,997800.78526
2020-11-10,59.22,59.6,57.04,57.93,639990.21607
2020-11-11,57.94,60.53,57.8,59.27,824536.88147
2020-11-12,59.28,60.82,57.6,60.72,830578.26228
2020-11-13,60.72,66.66,60.14,65.96,1974381.67036
2020-11-14,65.96,66.32,61.63,63.85,1017826.05829
2020-11-15,63.83,64.43,61.08,62.28,685249.75502
2020-11-16,62.29,74.62,62.08,73.84,2526207.15962
2020-11-17,73.83,77.0,71.36,76.32,2844994.89879
2020-11-18,76.32,77.13,67.77,73.42,2653342.04102
2020-11-19,73.41,83.4,71.47,81.53,2773824.05583
2020-11-20,81.54,85.63,79.99,82.53,2386175.15236
2020-11-21,82.55,88.5,80.1,87.14,2521719.40828
2020-11-22,87.09,87.92,77.3,82.87,2048304.58082
2020-11-23,82.87,90.93,80.8,89.03,2535636.06789
2020-11-24,89.04,94.02,84.6,89.25,2621715.64303
2020-11-25,89.27,90.76,78.05,81.75,1631940.24087
2020-11-26,81.75,83.29,64.45,71.0,3435959.29518
2020-11-27,70.99,73.5,65.3,69.15,1707521.50402
2020-11-28,69.18,74.97,68.26,72.7,1483068.35897
2020-11-29,72.68,81.07,71.51,78.91,1514540.21111
2020-11-30,78.89,88.46,76.63,87.65,2118965.66781
2020-12-01,87.66,93.01,79.56,85.08,3600461.26285
2020-12-02,85.07,90.63,82.61,88.9,2135078.47937
2020-12-03,88.89,91.5,85.46,89.0,1690248.45885
2020-12-04,89.01,89.84,77.8,79.52,1701697.85317
2020-12-05,79.52,84.28,78.61,83.14,1278363.44579
2020-12-06,83.11,85.19,80.31,83.55,921046.75996
2020-12-07,83.54,86.87,81.73,83.37,1145446.47407
2020-12-08,83.37,84.83,75.41,76.76,1230953.86975
2020-12-09,76.75,78.14,72.13,77.41,1378314.59353
2020-12-10,77.41,77.66,72.51,74.7,900570.5582
2020-12-11,74.77,75.09,69.87,72.2,1484095.85234
2020-12-12,72.2,77.58,71.97,76.67,872394.12884
2020-12-13,76.64,84.38,75.52,82.28,1278882.98328
2020-12-14,82.27,82.98,79.11,82.35,1102081.73026
2020-12-15,82.38,84.93,80.39,81.32,1348469.20889
2020-12-16,81.36,93.44,78.31,92.94,2349124.19924
2020-12-17,92.94,109.8,90.0,101.01,4161454.89253
2020-12-18,100.99,112.88,99.24,109.34,3141671.53609
2020-12-19,109.34,124.24,105.31,119.85,2753360.19971
2020-12-20,119.85,123.21,109.76,114.58,2671305.32839
2020-12-21,114.59,118.65,100.31,104.45,2599527.81365
2020-12-22,104.48,114.63,98.35,114.32,3210319.32528
2020-12-23,114.31,117.29,95.23,102.45,3923591.07434
2020-12-24,102.46,112.32,98.55,111.13,2696980.51697
2020-12-25,111.13,128.63,108.18,127.78,3117913.94898
2020-12-26,127.74,135.19,124.94,129.61,3461075.6473
2020-12-27,129.61,139.47,121.88,127.88,3743173.13001
2020-12-28,127.83,137.41,126.37,129.83,2349842.95502
2020-12-29,129.84,130.9,120.0,128.8,1732248.38409
2020-12-30,128.8,133.11,122.63,130.05,1727676.641
2020-12-31,130.06,130.35,121.98,124.21,1248723.03424
2021-01-01,124.22,133.97,122.89,126.24,1539801.80815
2021-01-02,126.2,142.0,123.15,136.96,2442266.765
2021-01-03,136.94,164.7,135.3,161.24,3813834.07669
2021-01-04,161.23,173.66,139.31,155.34,3530422.20392
2021-01-05,155.33,162.8,146.52,158.43,1998205.92425
2021-01-06,158.46,169.72,154.95,168.92,1857831.43166
2021-01-07,168.96,181.22,161.18,169.35,2493533.9948
2021-01-08,169.35,181.92,150.0,172.19,2843159.7034
2021-01-09,172.28,178.8,163.3,177.26,1749781.84973
2021-01-10,177.27,185.83,161.86,170.07,2269705.0446
2021-01-11,170.06,170.74,112.7,138.87,5019816.79975
2021-01-12,138.88,146.86,128.0,133.42,2825579.61257
2021-01-13,133.44,148.46,125.9,147.38,2153426.27798
2021-01-14,147.39,156.89,143.55,152.5,2033762.60027
2021-01-15,152.46,155.74,130.0,143.65,2104225.5121
2021-01-16,143.66,152.59,139.28,143.52,1784053.82975
2021-01-17,143.52,147.0,136.22,142.8,1379082.3792
2021-01-18,142.78,154.99,138.44,151.96,1644947.14813
2021-01-19,151.97,166.02,150.18,151.86,2288798.47777
2021-01-20,151.85,156.15,138.4,149.69,2037654.31965
2021-01-21,149.67,150.25,125.64,129.72,2176119.47889
2021-01-22,129.7,141.85,122.7,137.66,1979078.0056
2021-01-23,137.65,143.52,135.05,137.67,969988.56158
2021-01-24,137.66,142.65,133.73,141.01,917459.85058
2021-01-25,141.01,147.87,136.62,137.07,1380902.3935
2021-01-26,137.07,139.76,127.85,134.67,1093141.08136
2021-01-27,134.69,134.96,118.13,122.44,1240323.68178
2021-01-28,122.45,135.84,120.74,133.27,1074760.50528
2021-01-29,133.25,145.5,131.44,134.65,2193040.3844
2021-01-30,134.67,136.23,128.02,133.36,1215569.95596
2021-01-31,133.35,135.06,125.67,129.36,917993.35191
2021-02-01,129.37,136.63,125.95,132.0,1167609.37029
2021-02-02,131.99,145.82,131.87,141.98,1884558.49538
2021-02-03,141.96,156.7,141.92,155.93,1820822.28924
2021-02-04,155.94,158.68,141.03,145.07,1766938.56965
2021-02-05,145.05,156.93,143.45,155.05,1572009.29596
2021-02-06,155.05,164.27,149.82,155.57,1879526.24312
2021-02-07,155.57,157.29,145.23,150.76,1259975.92894
2021-02-08,150.76,169.38,147.76,167.28,1894490.90608
2021-02-09,167.28,184.49,164.22,181.49,1981149.12366
2021-02-10,181.52,195.17,169.57,181.56,2781973.96254
2021-02-11,181.59,193.59,175.72,183.62,1664189.0877
2021-02-12,183.62,199.84,176.75,196.69,1946870.34253
2021-02-13,196.71,229.07,191.45,225.76,2843517.28691
2021-02-14,225.77,230.77,208.11,213.49,1765475.48101
2021-02-15,213.47,219.99,185.31,207.83,2173405.17958
2021-02-16,208.03,222.48,200.1,210.26,1660812.39786
2021-02-17,210.23,237.75,203.37,237.49,1839179.97093
2021-02-18,237.39,239.18,221.0,226.59,1580820.71
2021-02-19,226.58,241.92,220.06,236.5,1402427.87852
2021-02-20,236.45,247.04,214.02,226.65,1701950.27455
2021-02-21,226.77,233.78,220.06,227.13,1268407.03046
2021-02-22,227.17,227.39,180.0,208.32,2556958.2216
2021-02-23,208.1,208.8,157.29,177.34,3669737.32689
2021-02-24,177.35,189.46,169.08,181.43,1827554.60176
2021-02-25,181.43,205.21,175.0,179.36,1961972.0422
2021-02-26,179.36,182.86,162.74,170.25,2180233.25143
2021-02-27,170.2,180.48,167.13,171.76,1113606.4401
2021-02-28,171.75,173.42,152.88,165.22,1682228.22219
2021-03-01,165.27,176.46,163.3,175.89,1216268.49518
2021-03-02,175.9,185.32,170.69,179.08,1441741.00235
2021-03-03,179.06,196.49,176.79,187.64,1873295.01116
2021-03-04,187.7,194.4,176.83,180.67,1485337.09208
2021-03-05,180.66,183.57,168.5,180.23,1182501.69882
2021-03-06,180.21,184.67,174.68,182.85,935959.9679
2021-03-07,182.86,192.24,182.25,190.75,820418.23901
2021-03-08,190.75,195.28,179.58,191.85,1171979.04352
2021-03-09,191.86,205.0,188.92,203.81,1279698.49896
2021-03-10,203.8,208.0,191.47,200.29,1422079.58464
2021-03-11,200.29,203.54,191.03,201.36,981380.1209
2021-03-12,201.37,224.23,198.41,220.84,2081683.73697
2021-03-13,220.8,230.23,212.7,226.06,1330663.68103
2021-03-14,226.08,228.12,213.84,213.94,806542.74173
2021-03-15,214.0,222.58,197.56,200.59,1413381.72445
2021-03-16,200.59,205.53,191.15,201.6,1063051.80222
2021-03-17,201.61,206.94,194.13,205.98,885644.66746
2021-03-18,205.96,208.25,199.13,199.7,774419.42586
2021-03-19,199.72,205.0,195.81,199.96,536877.41275
2021-03-20,199.96,206.1,198.82,200.17,473637.43878
2021-03-21,200.16,202.0,192.0,195.31,581731.80679
2021-03-22,195.33,199.0,184.42,185.67,725506.72916
2021-03-23,185.69,189.44,181.12,185.83,638849.27686
2021-03-24,185.82,197.17,172.0,176.05,1189902.97985
2021-03-25,176.05,179.03,167.86,171.53,956666.86464
2021-03-26,171.53,183.82,171.44,183.45,721838.20194
2021-03-27,183.44,186.12,177.75,184.06,475886.83873
2021-03-28,184.06,187.29,180.0,184.24,380545.16211
2021-03-29,184.22,197.6,182.45,193.73,904774.30423
2021-03-30,193.73,200.09,190.34,195.74,932290.6498
2021-03-31,195.71,198.99,187.0,196.7,698229.63786
2021-04-01,196.69,205.0,194.0,202.86,876741.40869
2021-04-02,202.87,213.77,200.78,211.46,942970.73038
2021-04-03,211.44,217.97,194.85,195.23,956126.60492
2021-04-04,195.17,204.92,192.22,202.21,565154.10714
2021-04-05,202.24,225.47,198.07,221.48,1329743.7613
2021-04-06,221.48,244.59,212.97,237.04,2444849.53403
2021-04-07,236.96,242.99,210.77,219.05,2263475.4652
2021-04-08,219.22,228.21,216.89,226.11,1074942.89645
2021-04-09,226.17,228.99,218.72,221.12,688918.8215
2021-04-10,221.13,257.0,219.16,256.34,1859281.88304
2021-04-11,256.55,263.62,244.77,252.31,1890765.80129
2021-04-12,252.35,259.94,240.01,244.42,1370860.1631
2021-04-13,244.44,273.54,244.36,267.59,1931888.55344
2021-04-14,267.61,283.0,255.0,278.86,1989435.79148
2021-04-15,278.8,290.9,266.0,285.63,1409760.53776
2021-04-16,285.64,317.09,265.5,308.43,3150447.99928
2021-04-17,308.39,335.69,296.75,300.86,2574519.6355
2021-04-18,300.87,304.83,231.1,273.36,3346589.56812
2021-04-19,273.35,284.39,250.21,261.38,1973511.87573
2021-04-20,261.47,272.8,234.31,260.68,2111225.32553
2021-04-21,260.73,277.0,250.75,257.69,1841080.20554
2021-04-22,257.63,289.61,239.0,252.5,2858792.51437
2021-04-23,252.6,257.15,206.89,241.31,2866031.89172
2021-04-24,241.31,241.41,220.34,224.75,1152968.01885
2021-04-25,224.76,235.8,210.73,223.88,928460.2198
2021-04-26,223.9,248.2,221.24,247.42,1236470.27391
2021-04-27,247.4,263.15,243.63,259.77,1114182.69248
2021-04-28,259.77,266.94,247.58,258.51,1014038.43734
2021-04-29,258.5,262.89,248.16,255.31,877558.7853
2021-04-30,255.31,273.58,252.61,271.13,1037748.69625
2021-05-01,271.14,278.58,265.9,276.78,759685.23196
2021-05-02,276.77,277.47,264.7,268.88,656429.21428
2021-05-03,268.83,299.72,268.44,294.87,1427253.57143
2021-05-04,294.73,327.68,270.0,305.23,3939316.56899
2021-05-05,305.24,360.0,300.52,356.04,3748897.98686
2021-05-06,356.03,364.93,318.0,354.67,2752093.00755
2021-05-07,354.52,374.5,333.33,344.89,2822668.46597
2021-05-08,344.89,356.68,334.0,347.1,1327716.1907
2021-05-09,347.17,389.0,333.51,387.8,2292100.05852
2021-05-10,387.77,413.49,333.68,358.89,3830553.73813
2021-05-11,358.93,379.72,345.0,377.6,2031121.35038
2021-05-12,377.8,394.37,301.0,310.4,2537826.91562
2021-05-13,310.4,332.73,291.0,317.95,2979065.55728
2021-05-14,317.95,338.85,307.96,326.23,1482325.51445
2021-05-15,326.24,332.0,296.17,300.3,1486176.50537
2021-05-16,300.22,323.95,279.66,295.89,1693568.12752
2021-05-17,295.89,296.34,261.27,281.53,2079261.84526
2021-05-18,281.38,317.97,278.32,293.98,2558765.69804
2021-05-19,293.98,300.31,147.0,185.93,6731555.34383
2021-05-20,186.31,225.0,166.45,210.74,4269465.92695
2021-05-21,210.66,219.12,156.56,179.97,2998819.79591
2021-05-22,179.97,184.44,161.61,169.32,1983438.52337
2021-05-23,169.3,176.26,118.03,142.39,3854006.12408
2021-05-24,142.52,185.37,139.54,185.32,2491240.93285
2021-05-25,185.32,194.61,167.15,183.76,1974384.43463
2021-05-26,183.89,204.13,179.42,198.91,1540975.47323
2021-05-27,198.92,209.0,180.39,194.32,1457775.38448
2021-05-28,194.31,198.88,165.5,177.33,2118247.13851
2021-05-29,177.3,188.69,157.65,164.01,1554075.0432
2021-05-30,164.04,181.1,155.11,170.51,1123365.50693
2021-05-31,170.48,188.5,163.5,187.97,1242054.05369
2021-06-01,188.01,193.16,175.82,182.99,1081241.44408
2021-06-02,183.05,191.34,178.27,187.14,976844.03214
2021-06-03,187.18,197.78,181.95,193.5,1079806.82442
2021-06-04,193.52,193.81,168.95,178.44,1130262.18071
2021-06-05,178.46,185.49,167.32,172.94,846082.98073
2021-06-06,172.95,179.96,172.02,176.41,677386.36378
2021-06-07,176.42,182.22,160.25,161.95,1035822.82509
2021-06-08,161.92,164.48,144.89,160.63,1417289.87647
2021-06-09,160.64,173.3,152.31,172.56,1139739.36054
2021-06-10,172.54,174.61,162.12,168.16,878866.63371
2021-06-11,168.18,173.78,160.55,162.83,928611.54446
2021-06-12,162.84,164.3,154.14,161.8,653167.31003
2021-06-13,161.81,171.59,156.42,170.85,573493.90783
2021-06-14,170.85,179.99,166.34,179.89,802051.95645
2021-06-15,179.88,181.2,172.15,175.15,654352.05304
2021-06-16,175.16,177.31,164.23,166.57,761479.45263
2021-06-17,166.56,173.4,162.81,167.08,559434.62367
2021-06-18,167.13,167.43,151.2,156.34,800699.30384
2021-06-19,156.33,160.88,152.31,152.49,523073.02283
2021-06-20,152.51,156.18,143.75,154.88,611253.37603
2021-06-21,154.87,155.5,123.91,124.46,1492819.3793
2021-06-22,124.38,133.03,104.92,119.64,2255757.11457
2021-06-23,119.69,133.75,115.49,129.1,1020444.64312
2021-06-24,129.13,137.36,123.71,134.58,660335.54019
2021-06-25,134.59,138.45,124.31,125.0,764515.33892
2021-06-26,125.03,129.44,118.67,126.89,871924.09227
2021-06-27,126.81,132.67,124.66,132.6,573388.24688
2021-06-28,132.57,139.55,129.89,137.69,703645.47159
2021-06-29,137.68,149.18,137.24,144.2,898148.69711
2021-06-30,144.23,146.94,136.01,144.26,629619.41847
2021-07-01,144.31,144.31,133.99,137.02,539535.2997
2021-07-02,137.01,138.97,130.6,136.85,467041.14947
2021-07-03,136.87,141.37,134.57,140.17,351451.49767
2021-07-04,140.19,148.1,136.88,144.95,443949.92264
2021-07-05,144.96,145.03,133.84,137.71,561680.84949
2021-07-06,137.76,142.73,135.6,138.87,530800.52733
2021-07-07,138.86,142.93,136.87,137.41,520913.20131
2021-07-08,137.38,137.74,127.77,132.15,645442.57112
2021-07-09,132.11,135.85,126.0,134.58,527547.82163
2021-07-10,134.54,136.82,130.32,133.99,365844.86832
2021-07-11,133.99,136.48,132.08,134.28,324968.57149
2021-07-12,134.28,139.75,131.82,133.38,670917.62355
2021-07-13,133.32,134.61,129.35,131.44,454856.67168
2021-07-14,131.45,132.42,123.59,131.07,538916.43958
2021-07-15,131.06,133.13,121.93,125.86,494375.7243
2021-07-16,125.88,127.87,120.38,120.65,422183.01506
2021-07-17,120.66,122.92,117.68,119.95,425298.69428
2021-07-18,120.0,124.05,116.23,119.17,430985.21457
2021-07-19,119.16,120.75,111.82,113.13,493082.96266
2021-07-20,113.14,115.09,103.83,107.29,766236.24738
2021-07-21,107.31,119.24,105.05,117.74,682039.47283
2021-07-22,117.77,122.0,115.61,120.67,464759.47146
2021-07-23,120.69,124.78,117.02,124.24,404160.06952
2021-07-24,124.27,127.7,123.29,125.99,432891.78019
2021-07-25,126.0,127.99,123.51,127.68,392963.87036
2021-07-26,127.64,140.47,126.85,131.06,1052092.77379
2021-07-27,131.06,135.12,127.27,134.74,607384.02252
2021-07-28,134.73,142.0,132.39,140.42,729936.12774
2021-07-29,140.48,143.0,136.55,141.44,542641.00192
2021-07-30,141.44,145.88,135.86,145.51,605847.24082
2021-07-31,145.51,146.6,141.83,144.37,388737.61543
2021-08-01,144.35,149.78,138.04,140.31,584699.77102
2021-08-02,140.31,145.93,138.76,141.35,419849.68249
2021-08-03,141.32,143.24,135.6,138.49,402821.08451
2021-08-04,138.49,144.5,135.54,142.57,486488.33119
2021-08-05,142.57,145.19,136.12,143.53,615027.38819
2021-08-06,143.51,150.9,141.73,147.95,685973.67511
2021-08-07,147.93,156.39,147.06,155.92,878574.53896
2021-08-08,155.92,157.63,147.0,149.69,700140.23658
2021-08-09,149.69,170.78,145.15,166.31,1165618.32076
2021-08-10,166.27,168.28,158.79,165.38,894686.73503
2021-08-11,165.38,176.07,164.23,170.6,914647.0176
2021-08-12,170.57,179.74,160.77,165.38,987267.21224
2021-08-13,165.41,184.57,164.0,183.31,1122682.76822
2021-08-14,183.32,185.11,174.62,182.76,944596.30069
2021-08-15,182.78,186.55,175.18,184.6,948648.90733
2021-08-16,184.59,189.03,176.35,177.93,898330.4154
2021-08-17,177.96,184.38,168.01,168.61,781038.75082
2021-08-18,168.6,174.54,162.92,166.65,694819.54486
2021-08-19,166.64,175.82,162.66,175.59,682216.29479
2021-08-20,175.57,184.11,174.11,183.59,708140.15383
2021-08-21,183.59,184.48,176.52,179.63,644225.29965
2021-08-22,179.57,189.6,178.38,185.91,935874.98336
2021-08-23,185.85,191.94,183.61,187.01,877311.28336
2021-08-24,186.98,188.64,172.25,173.42,780692.69421
2021-08-25,173.39,179.0,169.06,177.75,617983.0803
2021-08-26,177.76,180.18,164.9,167.7,568905.75324
2021-08-27,167.7,176.35,165.0,176.2,456121.02531
2021-08-28,176.2,177.1,171.3,175.6,316185.26963
2021-08-29,175.7,182.6,173.1,174.3,547343.58554
2021-08-30,174.4,176.5,166.5,167.3,468119.396
2021-08-31,167.4,175.4,165.6,171.5,553621.007
2021-09-01,171.6,182.8,168.5,180.9,692302.294
2021-09-02,180.9,187.9,179.4,183.3,683639.85445
2021-09-03,183.4,217.7,179.8,212.9,2071663.63126
2021-09-04,212.9,225.2,208.4,211.9,1448417.53392
2021-09-05,212.0,232.56,210.5,232.2,1007949.97992
2021-09-06,232.2,232.3,214.8,219.4,1001710.493
2021-09-07,219.4,221.9,162.1,178.5,2026882.59263
2021-09-08,178.4,189.0,169.3,179.7,1419232.641
2021-09-09,179.7,188.6,176.5,180.5,896655.718
2021-09-10,180.5,187.4,170.7,174.1,721100.842
2021-09-11,174.1,186.2,173.4,178.6,551963.071
2021-09-12,178.6,186.2,175.1,183.0,564714.696
2021-09-13,183.1,240.0,170.7,179.4,5437062.6741
2021-09-14,179.4,189.0,176.1,183.1,1091279.997
2021-09-15,183.0,192.1,179.6,189.0,745508.059
2021-09-16,189.1,195.4,181.5,185.2,935286.231
2021-09-17,185.2,190.5,177.5,180.0,566767.069
2021-09-18,180.0,185.8,177.9,181.4,372409.224
2021-09-19,181.3,181.7,172.5,175.6,364865.775
2021-09-20,175.6,176.0,153.3,157.2,1300459.67767
2021-09-21,157.2,162.3,144.7,148.5,988169.63393
2021-09-22,148.6,161.8,145.3,161.4,822665.566
2021-09-23,161.4,165.0,157.1,163.9,559513.522
2021-09-24,163.9,166.6,141.6,152.1,1236046.28455
2021-09-25,152.0,155.9,148.8,151.0,622457.078
2021-09-26,150.9,153.4,141.9,150.7,837958.065
2021-09-27,150.7,154.9,144.8,145.0,463173.188
2021-09-28,145.0,149.0,140.0,140.6,551914.7719
2021-09-29,140.5,150.4,139.7,144.7,505249.15568
2021-09-30,144.8,154.5,143.9,153.3,505878.24
2021-10-01,153.2,168.1,151.1,166.2,701432.917
2021-10-02,166.1,172.8,164.4,168.9,427845.773
2021-10-03,168.9,175.0,165.7,170.5,437060.787
2021-10-04,170.5,170.9,161.3,167.5,586624.931
2021-10-05,167.5,175.4,166.6,173.8,622714.612
2021-10-06,173.7,183.0,163.8,178.5,967921.404
2021-10-07,178.5,187.0,173.4,178.6,866672.447
2021-10-08,178.6,183.4,174.4,175.9,697493.034
2021-10-09,175.9,182.9,174.4,179.9,445979.888
2021-10-10,179.9,184.0,174.0,174.8,559785.153
2021-10-11,174.8,185.4,172.0,179.1,679614.987
2021-10-12,179.2,179.2,166.3,172.6,708173.9
2021-10-13,172.6,179.7,167.6,177.6,657952.562
2021-10-14,177.7,186.7,176.9,181.3,746399.181
2021-10-15,181.3,193.0,176.4,189.6,1143344.438
2021-10-16,189.7,192.6,185.0,186.0,576811.605
2021-10-17,186.0,188.1,176.4,183.7,475002.963
2021-10-18,183.8,187.6,178.5,185.6,591931.083
2021-10-19,185.5,191.6,183.1,188.8,598824.688
2021-10-20,188.8,209.4,185.6,207.3,1121684.82
2021-10-21,207.4,214.7,195.2,196.8,1129324.235
2021-10-22,196.8,201.5,187.9,191.0,731846.105
2021-10-23,191.0,198.0,188.7,196.3,413109.664
2021-10-24,196.3,199.9,185.2,190.4,568204.06
2021-10-25,190.4,197.4,189.6,195.5,435121.822
2021-10-26,195.5,199.4,190.3,197.6,571152.655
2021-10-27,197.5,205.0,171.1,179.3,1380721.926
2021-10-28,179.2,194.5,177.6,189.8,722390.735
2021-10-29,189.8,198.7,188.1,196.7,581094.6
2021-10-30,196.7,197.3,186.6,190.2,415371.62
2021-10-31,190.2,195.2,186.7,191.9,514684.875
2021-11-01,191.9,201.2,187.8,197.6,656176.592
2021-11-02,197.6,204.9,195.1,200.9,589454.742
2021-11-03,200.9,209.3,197.4,207.3,839855.941
2021-11-04,207.3,207.3,196.1,202.6,592543.494
2021-11-05,202.6,203.3,196.7,198.9,454701.028
2021-11-06,198.9,201.1,191.0,197.6,420636.051
2021-11-07,197.6,202.1,196.9,202.0,351383.08
2021-11-08,202.1,229.7,202.0,229.0,1380080.247
2021-11-09,229.0,274.6,226.5,262.0,3256268.81184
2021-11-10,262.0,295.7,251.6,260.4,3733558.8607
2021-11-11,260.3,274.2,250.5,262.3,1666490.106
2021-11-12,262.2,282.7,243.7,251.2,2414623.352
2021-11-13,251.1,264.2,245.2,257.7,1167201.211
2021-11-14,257.7,279.7,248.4,279.3,1358747.997
2021-11-15,279.3,281.5,259.0,263.0,1155933.609
2021-11-16,263.0,263.3,222.5,230.2,2396155.13
2021-11-17,230.4,235.4,217.6,229.6,1422751.183
2021-11-18,229.6,232.4,199.4,204.2,1689641.574
2021-11-19,204.1,221.3,199.5,217.9,1040819.801
2021-11-20,217.9,227.8,212.4,226.8,841347.754
2021-11-21,226.8,230.8,219.6,221.1,698329.313
2021-11-22,221.2,221.7,205.2,209.1,865031.634
2021-11-23,209.1,218.8,205.1,216.2,709895.649
2021-11-24,216.2,217.7,205.9,212.2,586526.86
2021-11-25,212.2,229.8,210.7,222.9,892094.61
2021-11-26,223.0,224.9,190.0,195.7,1536691.461
2021-11-27,195.7,201.0,190.6,195.1,524367.982
2021-11-28,195.0,199.9,182.0,199.5,723846.344
2021-11-29,199.5,209.5,194.9,205.5,810923.688
2021-11-30,205.5,219.9,197.4,207.8,1032919.457
2021-12-01,207.8,217.8,205.1,208.8,674057.314
2021-12-02,208.7,210.1,199.9,203.5,562121.73
2021-12-03,203.5,208.1,179.3,188.0,825086.4
2021-12-04,188.0,189.3,129.3,162.7,2758066.76925
2021-12-05,162.7,165.0,148.0,156.3,1075867.598
2021-12-06,156.3,164.5,141.3,161.3,1097434.113
2021-12-07,161.3,165.8,158.2,161.8,672241.01
2021-12-08,161.8,170.3,155.8,165.1,890527.252
2021-12-09,165.2,167.1,151.1,151.3,648228.982
2021-12-10,151.4,159.8,147.5,148.3,704610.428
2021-12-11,148.4,159.5,145.7,158.0,558649.677
